	name	query	labels	address	postal no.	postal name	coord. x	coord. y
6740	Sukhmani ApS	Restaurant	['Restaurant']	Griffenfeldsgade 13	2200	København N	12.5548983	55.6884384
6741	Restaurant Kalvø A/S	Restaurant	['Danske restauranter', 'Restaurant']	Kalvøvej 20	3600	Frederikssund	12.0572166	55.8329697
6742	Elixir Vinbar ApS	Restaurant	['Restaurant']	Nordre Frihavnsgade 76, kl. sal. tv	2100	København Ø	12.5856810	55.7031097
6743	Jenners Dockside ApS	Restaurant	['Restaurant']	Havnen 21	4600	Køge	12.1870966	55.4553261
6744	Deli-Licious ApS	Restaurant	['Restaurant']	Vibevej 21	2990	Nivå	12.5210619	55.9352455
6745	Kaku Sushi	Restaurant	['Restaurant']	Jyllingecentret 35	4040	Jyllinge	12.1087761	55.7502136
6746	Lottenborg Kro ApS	Restaurant	['Restaurant']	Lottenborgvej 14	2800	Kongens Lyngby	12.4909544	55.7791443
6747	Nordic Noodle Illum	Restaurant	['Restaurant']	Østergade 52	1100	København K	12.5806904	55.6792679
6748	Camino Holding ApS	Restaurant	['Restaurant']	Hovedvagtsgade 8, 4. sal. tv	1103	København K	12.5834780	55.6807404
6749	Rjn ApS	Restaurant	['Restaurant']	Over Bølgen 20	2670	Greve	12.3314695	55.5980492
6750	TGI Fridays	Restaurant	['Restaurant']	Højbro Plads 5	1200	København K	12.5801315	55.6786423
6751	Nyhavns Færgekro	Restaurant	['Frokostrestauranter', 'Restaurant']	Nyhavn 3	1051	København K	12.5881710	55.6807632
6752	Restaurant Theo ApS	Restaurant	['Restaurant']	Skindergade 29, kl. sal.	1159	København K	12.5744524	55.6793098
6753	Albion Pubs ApS	Restaurant	['Restaurant']	Otto Liebes Alle 4	2770	Kastrup	12.6236839	55.6362076
6754	Ceca Foods - Korsør ApS	Restaurant	['Restaurant']	Rungsted Strandvej 201A	2960	Rungsted Kyst	12.5363998	55.8955536
6755	Burger Hytten 2 ApS	Restaurant	['Restaurant']	Solrød Center 55	2680	Solrød Strand	12.2188892	55.5331688
6756	Restaurant Rørvig Perlen	Restaurant	['Restaurant']	Toldbodvej 62	4581	Rørvig	11.7616920	55.9445839
6757	Wood ApS	Restaurant	['Restaurant']	Falkoner Alle 33, kl. sal. tv	2000	Frederiksberg	12.5355654	55.6828308
6758	Ree Golf A/S	Restaurant	['Drift af sportsanlæg', 'Restaurant']	Høbjergvej 32	3200	Helsinge	12.2232218	55.9959755
6759	Boulevarden 129	Restaurant	['Restaurant']	Amager Boulevard 129, st. sal. tv	2300	København S	12.5976715	55.6660538
6760	Venezia (Vaia)	Restaurant	['Danske restauranter', 'Italienske restauranter']	Nyhavn 31	1051	København K	12.5901785	55.6802368
6761	Yderst Bekendt Og Unikke ApS	Restaurant	['Restaurant']	Nordre Havnevej 3	3250	Gilleleje	12.3080578	56.1255569
6762	Terrasse Caféen 2019 ApS	Restaurant	['Restaurant']	Rødovre Centrum 1C, 1. sal. 226	2610	Rødovre	12.4549732	55.6796761
6763	Frisk Hs ApS	Restaurant	['Restaurant', 'Varer til fritid, varer til sport - Udlejning (M)']	Amtsvejen 3	3390	Hundested	11.8459902	55.9664955
6764	Grand Café & Restaurant ApS	Restaurant	['Restaurant']	Heimdalsgade 39	2200	København N	12.5449181	55.7026520
6765	Hos Vivi ApS	Restaurant	['Restaurant']	Falkenborgvej 10, 2. sal. tv	3600	Frederikssund	12.0628777	55.8426170
6766	Feed Bistro ApS	Restaurant	['Restaurant']	Vesterbrogade 1P	1620	København V	12.5664034	55.6749992
6767	Rømer Gourmet ApS	Restaurant	['Restaurant']	Silkeborggade 8, 3. sal. tv	2100	København Ø	12.5852509	55.7044029
6768	Teddy By Bjørn	Restaurant	['Restaurant']	Frederiksgade 6, st. sal.	3400	Hillerød	12.3001766	55.9289474
6769	Pivi ApS	Restaurant	['Restaurant']	Listedvej 5L	2770	Kastrup	12.6145306	55.6340675
6770	M&N Fisketorvet ApS	Restaurant	['Restaurant']	Brunellevej 28	2630	Taastrup	12.2432194	55.6502762
6771	Kösem Aps	Restaurant	['Restaurant']	Nørrebrogade 186, st. sal.	2200	København N	12.5445127	55.6973686
6772	Wok Gourmet Roskilde ApS	Restaurant	['Restaurant']	Clermontgade 36	4000	Roskilde	12.0695095	55.6442146
6773	O Tempo	Restaurant	['Restaurant']	Jyllingevej 10	2720	Vanløse	12.4917507	55.6935196
6774	Smask 2019 ApS	Restaurant	['Restaurant']	Gammeltorv 8	1457	København K	12.5720234	55.6784210
6775	The Noodle Box	Restaurant	['Thailandske restauranter', 'Thai takeaway', 'Restaurant']	Istedgade 42	1650	København V	12.5569324	55.6704063
6776	Atb ApS	Restaurant	['Restaurant']	Viktoriagade 22, st. sal.	1655	København V	12.5585032	55.6709785
6777	Gaza Grill Kødbyen	Restaurant	['Restaurant']	Flæsketorvet 39	1711	København V	12.5603075	55.6682701
6778	Nurrejser ApS	Restaurant	['Restaurant']	Frederikssundsvej 53	2400	København NV	12.5289660	55.7033920
6779	Mo:Ra ApS	Restaurant	['Restaurant']	Stubmøllevej 2	2450	København SV	12.5268717	55.6483459
6780	Blue Taco	Restaurant	['Mexicanske restauranter', 'Restaurant']	Blågårdsgade 1	2200	København N	12.5600996	55.6878700
6781	D.E Kompagniet ApS	Restaurant	['Restaurant', 'Erhvervslokaler - Udlejning']	Stengade 9	3000	Helsingør	12.6084232	56.0324554
6782	Asiatisk	Restaurant	['Restaurant']	Bramstræde 4A	3000	Helsingør	12.6128874	56.0343399
6783	Restaurationsselskabet Af 1. November 2018 ApS	Restaurant	['Restaurant']	Kompagnistræde 14A, kl. sal.	1208	København K	12.5758133	55.6773720
6784	Lami Copenhagen ApS	Restaurant	['Restaurant']	Koreavej 22	2300	København S	12.6311998	55.6494675
6785	Görkem Restaurant ApS	Restaurant	['Restaurant']	Kanalgaden 4	2620	Albertslund	12.3534994	55.6551895
6786	Kompagni 47 ApS	Restaurant	['Danske restauranter']	Nyhavn 45, kl. sal.	1051	København K	12.5910864	55.6800003
6787	Larsens Plads City	Restaurant	['Danske restauranter']	Marielyst Strandvej 57	4873	Væggerløse	11.9651098	54.6912689
6788	Restaurant Frihavn ApS	Restaurant	['Restaurant']	Digevej 114	2300	København S	12.5847340	55.6414528
6789	Hansens Gamle Familiehave	Restaurant	['Danske restauranter']	Pile Alle 10	2000	Frederiksberg	12.5314713	55.6726265
